Periodo;RentaAnualNetaMedia;RentaAnualNetaMediaBase2010;RentaAnualNetaMedia65;RentaAnualNetaMedia65Base2010;RentaAnualNetaMedia45_64;RentaAnualNetaMedia45_64Base2010;RentaAnualNetaMedia30_44;RentaAnualNetaMedia30_44Base2010;RentaAnualNetaMedia16_29;RentaAnualNetaMedia16_29Base2010;PensionMediaJubilacion;PensionMediaJubilacion2010;RentaAnualNetaMediaHombres;RentaAnualNetaMediaHombresBase2010;RentaAnualNetaMediaMujeres;RentaAnualNetaMediaMujeresBase2010;DiferenciaHombresMujeres;DiferenciaHombresMujeresBase2010;RentaAnualNetaMediaAndalucia;RentaAnualNetaMediaAndaluciaBase2010;RentaAnualNetaMediaAragon;RentaAnualNetaMediaAragonBase2010;RentaAnualNetaMediaAsturias;RentaAnualNetaMediaAsturiasBase2010;RentaAnualNetaMediaBaleares;RentaAnualNetaMediaBalearesBase2010;RentaAnualNetaMediaCanarias;RentaAnualNetaMediaCanariasBase2010;RentaAnualNetaMediaCantabria;RentaAnualNetaMediaCantabriaBase2010;RentaAnualNetaMediaCastillayleon;RentaAnualNetaMediaCastillayleonBase2010;RentaAnualNetaMediaCastillalamancha;RentaAnualNetaMediaCastillalamanchaBase2010;RentaAnualNetaMediaCataluna;RentaAnualNetaMediaCatalunyaBase2010;RentaAnualNetaMediaComunidadvalenciana;RentaAnualNetaMediaComunidadvalencianaBase2010;RentaAnualNetaMediaExtremadura;RentaAnualNetaMediaExtremaduraBase2010;RentaAnualNetaMediaGalicia;RentaAnualNetaMediaGaliciaBase2010;RentaAnualNetaMediaMadrid;RentaAnualNetaMediaMadridBase2010;RentaAnualNetaMediaMurcia;RentaAnualNetaMediaMurciaBase2010;RentaAnualNetaMediaNavarra;RentaAnualNetaMediaNavarraBase2010;RentaAnualNetaMediaPaisVasco;RentaAnualNetaMediaPaisVascoBase2010;RentaAnualNetaMediaRioja;RentaAnualNetaMediaRiojaBase2010;RentaAnualNetaMediaCeuta;RentaAnualNetaMediaCeutaBase2010;RentaAnualNetaMediaMelilla;RentaAnualNetaMediaMelillaBase2010
2024;14807;131.22%;17208;146.04%;15876;121.68%;14907;129.85%;13463;126.40%;1442.65;161.66%;15005;131.92%;14617;130.57%;388.00;216.76%;12191;131.18%;15747;131.58%;16201;128.69%;15926;138.67%;13372;145.32%;14708;132.71%;14940;136.49%;12357;124.92%;16546;128.36%;13374;126.71%;12421;139.61%;14558;138.59%;17275;128.57%;11967;135.71%;17253;120.85%;19078;131.86%;14529;135.08%;13403;139.38%;12745;111.22%
2023;14082;124.80%;16185;137.36%;15251;116.89%;14078;122.63%;12822;120.38%;1378.39;154.46%;14249;125.28%;13921;124.35%;328.00;183.24%;11719;126.11%;14810;123.75%;15432;122.58%;14139;123.11%;12177;132.33%;14162;127.78%;14124;129.03%;11913;120.43%;15830;122.81%;12805;121.32%;11363;127.72%;13147;125.16%;16817;125.16%;11314;128.31%;16599;116.27%;18189;125.72%;14184;131.87%;13421;139.57%;13854;120.90%
2022;13008;115.28%;14762;125.28%;14225;109.03%;12974;113.01%;11660;109.47%;1259.79;141.17%;13180;115.88%;12843;114.72%;337.00;188.27%;10703;115.17%;14015;117.10%;13777;109.44%;12451;108.41%;10716;116.45%;13811;124.61%;13323;121.72%;11037;111.58%;14692;113.98%;11876;112.52%;10133;113.89%;12352;117.59%;15695;116.81%;10632;120.57%;15970;111.87%;16427;113.54%;13538;125.86%;12152;126.37%;13089;114.22%
2021;12269;108.73%;14426;122.43%;13373;102.50%;12012;104.63%;10903;102.37%;1196.17;134.04%;12358;108.65%;12184;108.83%;174.00;97.21%;9915;106.69%;13345;111.51%;12861;102.16%;11235;97.82%;10161;110.42%;12848;115.93%;12656;115.62%;10257;103.69%;14159;109.84%;11237;106.46%;9500;106.78%;11453;109.03%;14836;110.42%;9931;112.62%;15269;106.96%;15544;107.44%;12913;120.05%;10397;108.12%;12012;104.83%
2020;12292;108.93%;14132;119.94%;13626;104.44%;12053;104.99%;11031;103.57%;1170.26;131.14%;12433;109.31%;12156;108.58%;277.00;154.75%;9990;107.50%;13097;109.43%;12786;101.56%;12658;110.21%;9935;107.97%;12748;115.02%;12697;116.00%;10485;105.99%;14170;109.93%;11332;107.36%;9147;102.81%;11469;109.19%;14580;108.51%;9850;111.70%;15094;105.73%;15813;109.30%;13504;125.55%;9853;102.46%;11427;99.72%
2019;11680;103.51%;13315;113.00%;12988;99.55%;11422;99.49%;10345;97.13%;1143.55;128.15%;11768;103.46%;11595;103.57%;173.00;96.65%;9160;98.57%;12300;102.77%;12523;99.48%;12410;108.05%;9487;103.10%;12205;110.12%;12003;109.66%;9715;98.21%;13527;104.94%;10611;100.53%;8796;98.86%;11218;106.80%;14199;105.68%;8956;101.56%;13937;97.63%;15300;105.75%;12697;118.05%;10164;105.70%;11733;102.39%
2018;11412;101.13%;12758;108.27%;12550;96.19%;11397;99.28%;10156;95.35%;1107.49;124.11%;11549;101.54%;11279;100.75%;270.00;150.84%;9258;99.62%;11990;100.18%;12085;96.00%;13240;115.28%;8964;97.41%;11239;101.41%;11949;109.16%;9533;96.37%;13338;103.48%;10232;96.94%;8503;95.57%;11239;107.00%;13279;98.83%;9111;103.32%;13585;95.16%;14722;101.76%;12029;111.84%;9784;101.75%;12507;109.15%
2017;11074;98.14%;12528;106.32%;12311;94.36%;11040;96.17%;9815;92.15%;1071.01;120.02%;11153;98.06%;10998;98.24%;155.00;86.59%;9116;98.10%;12110;101.19%;12244;97.26%;12665;110.27%;8863;96.32%;11293;101.89%;11239;102.68%;9045;91.44%;12712;98.62%;9801;92.86%;8250;92.73%;10753;102.37%;13099;97.49%;8702;98.68%;13583;95.15%;14397;99.51%;12131;112.78%;9676;100.62%;10161;88.67%
2016;10708;94.90%;12416;105.37%;11931;91.45%;10536;91.78%;9373;88.00%;1050.82;117.76%;10766;94.65%;10651;95.14%;115.00;64.25%;8398;90.37%;11649;97.33%;12060;95.80%;12222;106.42%;8702;94.57%;10670;96.27%;10815;98.80%;8731;88.26%;12660;98.22%;9265;87.78%;8674;97.49%;10439;99.38%;12647;94.13%;8273;93.82%;13408;93.92%;14345;99.15%;11589;107.74%;9435;98.12%;10883;94.97%
2015;10419;92.33%;12206;103.59%;11591;88.84%;10353;90.18%;8935;83.89%;1029.53;115.37%;10479;92.13%;10361;92.55%;118.00;65.92%;7942;85.46%;12427;103.84%;11427;90.77%;10828;94.28%;8640;93.89%;10494;94.69%;10570;96.56%;8498;85.91%;12283;95.29%;9098;86.20%;8469;95.19%;10212;97.22%;12534;93.29%;7924;89.86%;13300;93.16%;13836;95.63%;11132;103.50%;8512;88.52%;10027;87.50%
